AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
0.448314279,0.851138711,9.609128952,9.657162213,855.5999756,0,0,0.000932106,0.004926845,-0.000532632,0.005042451,0.193965623,5.711772344,-2.061142363,0.116819926,84.28455431,0,Normal Driving
0.477044702,0.870292306,9.642647743,9.693587357,855.5999756,0.178767211,0.176649273,-0.000399474,0.001198422,-0.00133158,0.001835456,0.046688961,5.139316857,-3.098385689,0.116819926,84.85319984,0,Normal Driving
0.453102678,0.851138711,9.652224541,9.700266889,855.5999756,0.011645992,0.266136453,-0.000399474,0.001198422,-0.00133158,0.001835456,0.006679533,5.150962848,-2.832249235,0.116819926,84.84277142,0,Normal Driving
0.500986695,0.85592711,9.623494148,9.674463215,855.5999756,0.166964257,0.058195688,-0.000399474,0.001198422,-0.00133158,0.001835456,0.025803674,4.983998592,-2.890444924,0.116819926,85.00968463,0,Normal Driving
0.486621499,0.860715508,9.647436142,9.697971736,855.5999756,0.107822694,0.002864423,-0.000399474,0.001198422,-0.00133158,0.001835456,0.02350852,5.091821286,-2.887580501,0.116819926,84.9017395,0,Normal Driving
0.472256273,0.85592711,9.642647743,9.692073705,855.5999756,0.030059487,0.143207451,-0.000399474,0.001198422,-0.00133158,0.001835456,0.00589803,5.061761798,-2.74437305,0.116819926,84.93245641,0,Normal Driving
0.491409898,0.851138711,9.628282547,9.678313159,855.5999756,0.004747448,0.059492532,-0.000399474,0.001198422,-0.00133158,0.001835456,0.013760546,5.066509246,-2.803865581,0.116819926,84.92744972,0,Normal Driving
0.563235939,0.85592711,9.642647743,9.696932579,855.5999756,0.480212152,0.617731938,0.000399474,-0.003328949,-0.001198422,0.003560575,0.080606733,4.59113483,-3.16792262,0.116819926,85.40186864,0,Normal Driving
0.453102678,0.913387954,9.752780914,9.805932651,855.5999756,0.472829091,0.174978291,0.000399474,-0.003328949,-0.001198422,0.003560575,0.109000072,5.063963921,-3.342900912,0.116819926,84.92744972,0,Normal Driving
0.424372256,0.836773515,9.671378136,9.716781194,855.5999756,0.002438947,0.795211102,0.000399474,-0.003328949,-0.001198422,0.003560575,0.089151457,5.066402868,-2.54768981,0.116819926,84.92861052,0,Normal Driving
0.529717147,0.860715508,9.589975357,9.643083469,855.5999756,0.126181726,0.035208983,0.000399474,-0.003328949,-0.001198422,0.003560575,0.073697725,4.940221143,-2.512480827,0.116819926,85.05504879,0,Normal Driving
0.453102678,0.851138711,9.666589737,9.714561044,855.5999756,0.298003243,0.29277558,0.000399474,-0.003328949,-0.001198422,0.003560575,0.071477575,5.238224386,-2.805256407,0.116819926,84.75552589,0,Normal Driving
0.515351892,0.846350312,9.633070946,9.683901707,855.5999756,0.226136802,0.113581806,0.000399474,-0.003328949,-0.001198422,0.003560575,0.030659337,5.012087583,-2.918838213,0.116819926,84.98143486,0,Normal Driving
0.477044702,0.851138711,9.652224541,9.701414708,855.5999756,0.05115493,0.053903415,-0.000932106,0.000932106,-0.001198422,0.001781532,0.020658439,5.157808537,-3.006991884,0.116819926,84.83511853,0,Normal Driving
0.4818331,0.851138711,9.647436142,9.696887354,855.5999756,0.127057158,0.178948889,-0.000932106,0.000932106,-0.001198422,0.001781532,0.004527354,5.030751379,-2.828042995,0.116819926,84.96314578,0,Normal Driving
0.491409898,0.851138711,9.637859344,9.687840499,855.5999756,0.009547445,0.090795218,-0.000932106,0.000932106,-0.001198422,0.001781532,0.009046855,5.040298824,-2.918838213,0.116819926,84.95318754,0,Normal Driving
0.544082344,0.606930137,9.384073257,9.4194066,855.5999756,1.345942659,0.399418188,-0.000932106,0.000932106,-0.001198422,0.001781532,0.2684339,3.694356165,-3.318256402,0.116819926,86.29945679,0,Normal Driving
0.319027364,1.057040095,9.771934509,9.834114921,855.5999756,2.476119555,1.44836754,-0.000932106,0.000932106,-0.001198422,0.001781532,0.414708321,6.170475719,-1.869888862,0.116819926,83.82626215,0,Normal Driving
0.577601135,0.798466265,9.518148422,9.569029253,855.5999756,1.38879436,1.127890836,-0.000932106,0.000932106,-0.001198422,0.001781532,0.265085668,4.781681359,-2.997779698,0.116819926,85.21179668,0,Normal Driving
0.433949053,0.85592711,9.652224541,9.699812451,855.5999756,0.075189332,0.620780594,-0.000532632,0.002396843,-0.000932106,0.002626285,0.01521821,5.172355364,-2.629624112,0.116819926,84.82222193,0,Normal Driving
0.457891077,0.841561913,9.623494148,9.671066659,855.5999756,0.109898858,0.055428121,-0.000532632,0.002396843,-0.000932106,0.002626285,0.028745792,5.062456506,-2.574195991,0.116819926,84.93245641,0,Normal Driving
0.52014029,0.745793819,9.561244011,9.604381364,855.5999756,2.20743505,0.445679092,-0.000532632,0.002396843,-0.000932106,0.002626285,0.066685295,7.269891556,-2.128516899,0.116819926,82.72514274,0,Normal Driving
0.620696783,0.736217022,9.422380447,9.471458879,855.5999756,2.811790461,1.640381806,-0.000532632,0.002396843,-0.000932106,0.002626285,0.132922485,4.458101095,-3.768898705,0.116819926,85.53227553,0,Normal Driving
